PositionUniqueName,Last_Name,Given_Names,Party,Phone,Email,Website,Twitter,Facebook,Instagram,LinkedIn,Youtube,ImageTitle,Withdrawn,Votes,Winner,Total_Votes,Percentage,Municipality
Cambridge,Deutschmann,Rob,OLP,,,https://www.robformpp.ca/,,,,,,,,15131,,,,
Cambridge,Johnson,Carla,GPO,,,https://carlajohnson.ca/,,,,,,,,2519,,,,
Cambridge,Karahalios,Belinda,NewBlue,,,https://www.newblueontario.com/belinda,,,,,,,,2067,,,,
Cambridge,Knight,Marjorie,NDP,,,https://marjorieknight.ontariondp.ca/,,,,,,,,5074,,,,
Cambridge,Riddell,Brian,PC,,,https://brianriddellmpp.ca/,,,,,,Brian_Riddell.png,,19210,Y,,,
KitchenerCentre,Clancy,Aislinn,GPO,,,http://voteclancy.ca/,,,,,,Aislinn_Clancy.jpg,,21200,Y,,,
KitchenerCentre,Elliott,Rob,PC,,,,,,https://www.instagram.com/robelliottpc/,,,,,9991,,,,
KitchenerCentre,James,Colleen,OLP,,,https://colleen-james.ca/colleen,,,,,,,,5892,,,,
KitchenerCentre,Simoes,Paul,NewBlue,,,https://paulsimoes.ca/,,,,,,,,804,,,,
KitchenerCentre,Wallis,Brooklin,NDP,,,https://www.brooklinwallis.ca/,,,,,,,,2821,,,,
KitchenerCentre,Butnar-Stoica,Sebastian,TOP,,,http://www.ontarioparty.ca/,,https://www.facebook.com/butnarstoica.sebastian,,,,,,398,,,,
KitchenerCentre,Nuhn,Christopher,Independent,,,https://wearethechange.ca/,https://x.com/eastmanblues,https://www.facebook.com/profile.php?id=61573140781416,,https://www.linkedin.com/in/chris-nuhn-6a5821328/,https://www.youtube.com/@chrisnuhn6669,,,144,,,,
KitchenerConestoga,Doucette,Patrick,TOP,,,,https://x.com/patrickdoucette,https://www.facebook.com/patrick.doucette/,,https://www.linkedin.com/in/patrick-doucette-2455281a/,https://www.youtube.com/@patrickpeace,,,890,,,,
KitchenerConestoga,Gowing,Joe,OLP,,,,,https://www.facebook.com/electJoeGowing2025/,,,,,,12031,,,,
KitchenerConestoga,Harris,Mike,PC,,,http://www.mikeharrispc.ca/,,,,,,mike-harris.jpg,,16946,Y,,,
KitchenerConestoga,Karahalios,Jim,NewBlue,,,https://www.newblueontario.com/leader,,,,,,,,1152,,,,
KitchenerConestoga,Szimanski,Jodi,NDP,,,https://jodiszimanski.ontariondp.ca/,,,,,,,,7551,,,,
KitchenerConestoga,Wagenaar,Brayden,GPO,,,https://gpo.ca/candidate/brayden-wagenaar/,,,,,,,,2227,,,,
KitchenerSouthHespeler,Dixon,Jess,PC,,,http://jessdixon.ca/,,,,,,Jess_Dixon.png,,17363,Y,,,
KitchenerSouthHespeler,Donkersgoed,Jeff,NDP,,,https://jeffdonkersgoed.ontariondp.ca/,,,,,,,,6841,,,,
KitchenerSouthHespeler,Riley,Jessica,GPO,,,https://www.riley4ksh.ca/,,,,,,,,3345,,,,
KitchenerSouthHespeler,Mohamed,Ismail,OLP,,,,,https://www.facebook.com/IsmailforKSH/,,,,,,9830,,,,
KitchenerSouthHespeler,Soule,John,NewBlue,,,https://www.newblueontario.com/,,,,,,,,846,,,,
Waterloo,Biber,Suja,NewBlue,,,https://sujabiber.ca/,,https://www.facebook.com/suja.biber.2025,,https://www.linkedin.com/in/suja-biber-a303951b2/,https://www.youtube.com/@sujabiber_election_champaign,,,543,,,,
Waterloo,Esmail,Shefaza,GPO,,,https://gpo.ca/candidate/shefaza-esmail/,,,,,,,,1814,,,,
Waterloo,Fife,Catherine,NDP,,,https://www.catherinefife.com/,,,,,,Catherine_Fife.jpg,,25055,Y,,,
Waterloo,Moore,Clayton,OLP,,,https://www.voteclayton.ca/,,,,,,,,7839,,,,
Waterloo,Turkington,Peter,PC,,,https://waterloo.ontariopc.ca/,,,,,,,,13670,,,,
Waterloo,Martin,Chris,TOP,,,http://www.ontarioparty.ca/,,https://www.facebook.com/profile.php?id=100003635597167,,,,,,477,,,,
Waterloo,Schulz,James,LP,,,https://libertarian.on.ca/candidates/james-schulz,,https://www.facebook.com/profile.php?id=61572958871961,https://www.instagram.com/james.schulz.79/,,,,,325,,,,
Waterloo,House,Peter,Electoral Reform Party,,,http://peterhouse.ca/,https://twitter.com/ERP_Hq,https://www.facebook.com/ElectoralReformParty/,,,https://www.youtube.com/@electoralreformparty,,,161,,,,
